feature,coefficient,importance
RATIO_ENDETTEMENT,0.8247067586406361,0.8247067586406361
SCORE_CREDIT,-0.3533297836757303,0.3533297836757303
DEFAUT_ANTERIEUR,0.1473847146121632,0.1473847146121632
RATIO_DEPENSES_REVENU,0.11683120727259534,0.11683120727259534
ASSURANCE_SOUSCRITE,-0.10495222191069621,0.10495222191069621
REVENU_MENSUEL,-0.09646390729444981,0.09646390729444981
RATIO_PRET_REVENU_ANNUEL,-0.0862650045685116,0.0862650045685116
CAPACITE_REMBOURSEMENT,0.07308544994949809,0.07308544994949809
MONTANT_PRET,0.05976739402262974,0.05976739402262974
PROPRIETAIRE,-0.051123755908295695,0.051123755908295695
SOLDE_MOYEN_3M,-0.048164848748710284,0.048164848748710284
RATIO_PRET_VALEUR,0.04257755918056427,0.04257755918056427
ENDETTEMENT_X_UTILISATION,-0.038878270205588594,0.038878270205588594
CONNEXIONS_WEB_30J,-0.030847660782891966,0.030847660782891966
NB_RETARDS_PAIEMENT_12M,0.029925779342233158,0.029925779342233158
SOLDE_EPARGNE_M2,-0.029174066413072925,0.029174066413072925
SOLDE_EPARGNE_M1,-0.028881355070453443,0.028881355070453443
SOLDE_EPARGNE_M3,-0.025797604403511188,0.025797604403511188
FLAG_HAUT_RISQUE,0.018558994404086364,0.018558994404086364
DEMANDES_CREDIT_6M,0.013235329423209164,0.013235329423209164
DUREE_PRET_MOIS,-0.0069909339961687425,0.0069909339961687425
RATIO_SOLDE_PLAFOND,-0.004339277914884868,0.004339277914884868
NB_TRANSACTIONS_TOTAL_30J,-0.0029340632612125544,0.0029340632612125544
TENDANCE_EPARGNE,-0.002127134017049392,0.002127134017049392
